z,exact_sigmoid,poly_sigmoid
[ 0.12752084  0.43611998 -0.23615537],[0.53183708 0.60733411 0.44123402],[0.53163629 0.60617699 0.44012462]
[-1.58031743 -0.89468995  0.69021999],[0.17075053 0.29014294 0.66601586],[0.06745959 0.26432046 0.66540894]
[-1.57456041 -0.00855218  1.3042634 ],[0.17156724 0.49786197 0.78655163],[0.06917129 0.49786086 0.80054931]
[ 1.61591824 -0.37655079 -1.7266603 ],[0.83423144 0.40695907 0.15101526],[0.86481168 0.40373545 0.02361459]
[ 0.57019805  0.67671528 -0.68713462],[0.63880887 0.66300519 0.33467079],[0.63767263 0.66230967 0.32113403]
[ 1.40384227  0.4997735  -2.0651219 ],[0.80279289 0.6224061  0.11253329],[ 0.82139897  0.62119677 -0.0802514 ]
[ 0.07559408 -0.41202044 -0.57826798],[0.51888953 0.39842776 0.35933123],[0.5188128  0.39444848 0.3504171 ]
[-0.60039812 -0.68076491 -0.18711804],[0.35425262 0.3360906  0.45335651],[0.3444933  0.32285716 0.45269529]
[-1.412693    0.08322616  0.56363699],[0.19580965 0.52079454 0.63729365],[0.11689123 0.52070264 0.63614395]
[ 3.4470479   0.36190306 -3.4642345 ],[0.96914298 0.58950103 0.03034718],[ 1.18352989  0.58851116 -0.54607243]
[ 1.09818206  0.62829895 -1.43563489],[0.74991932 0.65210365 0.19222222],[0.75645546 0.65115334 0.11017557]
[-0.74804408 -0.18999448  0.25388609],[0.32124763 0.45264375 0.56313277],[0.30459543 0.45195991 0.56250465]
[ 0.32689696  0.26812145 -0.77642253],[0.58100417 0.56663167 0.31509142],[0.58012132 0.56595203 0.29685189]
[-0.68591775 -0.49392066  0.55841591],[0.3349418  0.3789704  0.63608593],[0.32146332 0.37286047 0.63492655]
[-0.72094483 -0.81813173  0.10454863],[0.32718496 0.30616039 0.52611338],[0.31196737 0.28542698 0.5259732 ]
[-1.34814821 -0.56075625  0.69009681],[0.20617328 0.3633725  0.66598846],[0.13570039 0.35509422 0.6653807 ]
[ 2.13519622  0.17949095 -2.0487931 ],[0.89427729 0.54475265 0.11417439],[ 0.96541311  0.54438948 -0.07516157]
[1.30358705 2.01517491 0.32667123],[0.78643806 0.88238116 0.58094922],[0.80040667 0.94287978 0.5800671 ]
[ 2.03783785  0.30703471 -2.25989426],[0.88471292 0.5761613  0.09449942],[ 0.94716772  0.57534462 -0.14158039]
[ 3.95802967  2.1168241  -3.91641914],[0.98125729 0.89252767 0.01952351],[ 1.25451743  0.96199186 -0.70917987]
[-0.40132251  0.20213963 -0.04818772],[0.40099464 0.55036353 0.4879554 ],[0.39725348 0.549922   0.48791824]
[-0.6910746  -0.03386962  0.23388974],[0.33379406 0.4915334  0.55820733],[0.32006759 0.49151539 0.55765187]
[-0.48426922  0.20540948  0.03304012],[0.38124452 0.55117257 0.50825928],[0.37541494 0.55071947 0.50824365]
[-0.9452278  -0.29996327  0.09261187],[0.27984556 0.42556646 0.52313643],[0.25029122 0.42365951 0.52302431]
[ 2.32676112  1.0332653  -2.4563486 ],[0.91106927 0.73754845 0.07897553],[ 1.00048302  0.74230177 -0.20459188]
[ 1.26856693 -0.86792878 -1.73931409],[0.78049733 0.29568546 0.14940008],[0.7930028  0.2717183  0.01979327]
[ 0.38755713  0.71384482 -0.60435692],[0.59569449 0.67125017 0.35334753],[0.59463627 0.67081759 0.34343206]
[ 1.74139761  0.75982956 -1.30917617],[0.8508645  0.68131673 0.21262473],[0.88986242 0.68129728 0.14699682]
[ 0.24035976  0.93977697 -0.36188689],[0.55980231 0.7190546  0.41050288],[0.55922335 0.72169653 0.40756385]
[-0.29826612  0.08950684  0.51883761],[0.4259814  0.52236178 0.62687592],[0.42409903 0.52225654 0.62567152]
[-0.6795369  -0.25724819 -0.26542183],[0.33636467 0.43604028 0.43403137],[0.32318922 0.4346953  0.43258781]
[-1.01247375 -0.17701982  0.40398359],[0.26649601 0.45586025 0.59964438],[0.23150502 0.455275   0.59854786]
[-0.07282078 -0.21131812 -0.40279347],[0.48180285 0.44736619 0.40064136],[0.48171526 0.44650064 0.39686799]
[-0.98511391 -0.57568472  0.44331289],[0.27187825 0.35992614 0.60904814],[0.23916478 0.35110763 0.60788033]
[ 1.73343677  1.18117299 -0.80757318],[0.84985149 0.76515865 0.30840788],[0.88828715 0.7743657  0.28832409]
[-1.09516673 -0.6007086   0.59096605],[0.2506466  0.35418159 0.64358677],[0.20821746 0.34441009 0.6425029 ]
[ 0.12550449  1.06623054 -0.3372184 ],[0.531335   0.74387941 0.41648532],[0.53113985 0.74950492 0.41398966]
[-1.38843507 -0.47771258  0.89509073],[0.19965771 0.38279241 0.7099396 ],[0.12397495 0.37714872 0.71175487]
[-0.34084955  0.97352151  0.07754656],[0.41560313 0.72582085 0.51937693],[0.41304494 0.72916422 0.51929644]
[-1.88335414 -0.62860798  1.18283471],[0.13200409 0.34782624 0.76545711],[-0.02404388  0.33692078  0.77472221]
[ 0.73769392  0.9472758  -1.32838417],[0.67649137 0.72056699 0.20942677],[0.6762606  0.72335898 0.14143489]
[-0.31482314  0.72043975 -0.24358492],[0.4219379  0.67270384 0.43940309],[0.41980751 0.67232444 0.43821377]
[ 1.82816382  1.68886272 -1.50034911],[0.86154284 0.84407454 0.18237346],[0.90690821 0.87943182 0.09114701]
[-1.40004113 -1.1873326   0.70125844],[0.19780959 0.23373634 0.66846673],[0.12058799 0.18202047 0.66793816]
[-0.66919235  0.27554457  0.15019455],[0.33867771 0.56845358 0.53747821],[0.32598464 0.56774727 0.53721026]
[ 0.3368188   1.23142913 -0.7845128 ],[0.58341756 0.77406861 0.31334809],[0.582503   0.78511102 0.29463989]
[-0.12635998  0.58269934 -0.30959398],[0.46845197 0.64168829 0.42321385],[0.4681705  0.64058176 0.42116378]
[-1.03987907 -0.755796    0.23130606],[0.26117333 0.31955969 0.55757006],[0.22381001 0.30248259 0.55702398]
[-0.93268991 -0.22045265  0.27632297],[0.28237931 0.44510896 0.56864452],[0.25377887 0.44415785 0.56793543]
[ 0.15353695 -0.38230991 -1.37171252],[0.53830901 0.4055699  0.2023433 ],[0.53803063 0.40223011 0.12884794]
[-1.44983089 -0.3990461   0.84234108],[0.19002759 0.40154155 0.69895805],[0.10601213 0.39784991 0.69994219]
[ 0.14993425  0.42823862 -0.62105553],[0.5374135  0.60545299 0.34954143],[0.53714636 0.60430883 0.33895047]
[-0.7573967   0.63581391  0.29219107],[0.31921174 0.65380658 0.57253246],[0.30204608 0.65288959 0.57176713]
[ 1.1658778   0.96398789 -1.5288918 ],[0.7623991  0.72391954 0.17815589],[0.77108039 0.72705788 0.0827144 ]
[-0.99715639 -0.56796953  0.39716387],[0.26950088 0.36170548 0.59800606],[0.23579609 0.35316878 0.59692488]
[-1.47417614 -0.27523321  0.68385845],[0.18630869 0.4316228  0.66459932],[0.09885803 0.4300554  0.66394968]
[ 0.51690563  0.61600821 -0.97144105],[0.62642391 0.64931013 0.27459336],[0.62521854 0.64831006 0.24298427]
[-1.08962427 -1.12711801  0.41532397],[0.25168904 0.24469335 0.60236378],[0.20978472 0.19916457 0.60124358]
[-1.20451348 -0.84753589  0.67414115],[0.23067327 0.29995002 0.66242981],[0.17710884 0.27734127 0.66171829]
[-0.74543387  0.21040581  0.19900364],[0.32181705 0.55240825 0.54958737],[0.30530646 0.55193739 0.54915687]
[ 2.27093404  1.11521289 -2.73895337],[0.90644103 0.75309968 0.06071356],[ 0.99037639  0.76014773 -0.29726633]
[-1.63058549 -1.0789951   0.840502  ],[0.16375017 0.25369623 0.69857093],[0.05247149 0.21278777 0.69952885]
[ 1.0078176   1.04773823 -1.11018204],[0.73259283 0.74034034 0.24783695],[0.73671896 0.74546823 0.20396693]
[-0.97458468  0.43071849  0.55789003],[0.27396762 0.60604523 0.63596419],[0.2421066  0.60489685 0.63480389]
[-0.85444526 -0.22411232 -0.04005876],[0.2985012  0.44420526 0.48998665],[0.27543754 0.44321853 0.48996124]
[-1.21533418 -0.40172205  0.35690103],[0.22875859 0.40089867 0.58829005],[0.1740109  0.39714878 0.58731458]
[-0.97111688 -1.01052162  0.1574555 ],[0.27465794 0.26687778 0.53928275],[0.24307476 0.23205228 0.53899199]
[ 2.82526145  1.57225387 -2.4949392 ],[0.94402574 0.82810468 0.07621372],[ 1.08658383  0.85598373 -0.21710562]
[ 1.91396182  0.93793455 -2.49460804],[0.87146358 0.71868226 0.07623704],[ 0.92354171  0.72128782 -0.21699805]
[ 0.78326437  0.46896568 -1.13632768],[0.68638323 0.61513892 0.24299524],[0.68661355 0.61394249 0.19654947]
[ 1.65424767  1.39891087 -1.67748422],[0.83946431 0.802011   0.15742889],[0.87251389 0.82037344 0.03841965]
[-0.24380824  1.08216452 -0.20353433],[0.43934808 0.74690338 0.44929135],[0.4381563  0.75297493 0.44849502]
[ 1.98836889 -0.73771207 -2.16442255],[0.87957047 0.32350465 0.10299116],[ 0.93778806  0.3074087  -0.11137651]
[-0.66836108 -0.38513109  0.37072955],[0.33886392 0.40488994 0.59163525],[0.32620913 0.40149234 0.59062078]
[-0.56161137  0.44332154  0.00572835],[0.3631747  0.6090502  0.50143208],[0.35486605 0.60788238 0.5014316 ]
[ 1.30679226 -0.35558466 -1.65547496],[0.78697589 0.41202881 0.16037037],[0.80108248 0.40920723 0.0450223 ]
[-1.09969624 -0.44223904  0.67102821],[0.24979681 0.39120758 0.66173335],[0.20693596 0.38650661 0.66100287]
[ 1.58779508 -0.07098826 -2.09967808],[0.83030566 0.48226038 0.10912811],[ 0.85913237  0.48217735 -0.09104924]
[-3.67393362e-01  2.83239657e-04  6.48129505e-02],[0.40917103 0.50007081 0.51619757],[0.40612699 0.50007081 0.51614023]
[ 1.24889269  0.92867926 -0.62326427],[0.77710812 0.71680726 0.34903941],[0.78882718 0.71923314 0.33835706]
[-0.77430096  0.19959683  0.33563204],[0.31554946 0.5497342  0.5831291 ],[0.29743163 0.54930162 0.58221828]
[-1.08179135 -0.79009101  0.41236241],[0.25316717 0.31214913 0.60165421],[0.21199807 0.29311359 0.60053996]
[ 0.64134828  0.85341288 -1.01379104],[0.65505818 0.70128258 0.26623859],[0.65416716 0.70242852 0.23113566]
[-1.19728597 -0.11634914  1.02794586],[0.23195838 0.47094548 0.73651747],[0.1791761  0.47070966 0.74113638]
[-0.25952002 -0.33468743 -0.15098892],[0.4354817  0.41710054 0.46232432],[0.43410973 0.41464791 0.4619108 ]
[-0.67267775  0.77672246  0.30004051],[0.33789751 0.6849733  0.57445242],[0.32504313 0.68513115 0.57365976]
[ 1.4268298   0.11225294 -1.45916876],[0.80640688 0.52803381 0.18859449],[0.8261698  0.52787423 0.10327021]
[ 0.62409436  1.27593815 -0.95765959],[0.65114917 0.78175757 0.27734703],[0.65018118 0.79456426 0.24682842]
[ 0.88054549  0.62352115 -1.51976539],[0.70693525 0.65101896 0.17949607],[0.70850597 0.65004861 0.08541335]
[-1.42699427 -0.42702251  0.64619538],[0.19356744 0.39483755 0.65615259],[0.11270674 0.39050915 0.65528532]
[-0.23098882  0.9928163  -0.39327184],[0.44250819 0.72964384 0.40292992],[0.44145246 0.73341881 0.3993621 ]
[ 1.70614027 -0.33412187 -2.03250036],[0.84633499 0.41723805 0.1158326 ],[ 0.88287135  0.41479497 -0.07009095]
[ 3.40226343  0.96348811 -3.61968474],[0.9677752  0.72381964 0.02609209],[ 1.17693491  0.72694739 -0.60145295]
[-0.97478732 -0.91147393  0.40307435],[0.27392732 0.28669832 0.59942608],[0.24205002 0.25966975 0.59833155]
[-1.87882373 -0.6011262   1.10687051],[0.13252404 0.35408608 0.75154522],[-0.02265561  0.34429816  0.75834019]
[-1.17764629 -0.59154087  0.84565195],[0.23547566 0.35628139 0.69965424],[0.18478566 0.34686597 0.70068608]
[ 1.35652333  1.64163315 -0.17345427],[0.79519407 0.83775704 0.45674483],[0.8115285  0.8699839  0.45618514]
[-1.45407364 -1.13125231  0.82907478],[0.18937542 0.24393006 0.69615926],[0.10476664 0.19799094 0.69695822]
[ 1.46717496  0.12540292 -1.70000872],[0.81262761 0.53130971 0.15446413],[0.8345047  0.53111484 0.03164737]
[-0.43732646  0.32770611  0.12696251],[0.3923782  0.58120113 0.53169806],[0.38779957 0.58031566 0.53149884]
[ 1.35003567  0.51562145 -2.02668786],[0.79413546 0.62612335 0.11642922],[ 0.81016997  0.62491738 -0.06828392]
[ 2.40141537  0.51415923 -2.66172235],[0.91693517 0.62578099 0.06527017],[ 1.01385191  0.62457441 -0.27170208]
[-1.85450154 -0.96744563  1.16928425],[0.13534523 0.27538993 0.76301562],[-0.01521302  0.24409933  0.77181268]
[ 0.5848822   1.02060786 -1.18700137],[0.64219003 0.73509099 0.23379567],[0.64108924 0.73952736 0.18211507]
[ 0.43917213  0.09595952 -1.03023973],[0.60806175 0.52397149 0.26303763],[0.60689995 0.52385176 0.22651916]
[ 1.69376128 -0.80032914 -1.90483917],[0.84471816 0.30995512 0.12956176],[ 0.88040791  0.29030982 -0.03063598]
[ 1.63919591  0.13780649 -2.08651066],[0.8374255  0.5343972  0.11041484],[ 0.86949453  0.53416676 -0.08693057]
[ 1.31873636  1.74622875 -0.75683898],[0.78897139 0.85147651 0.31933295],[0.80359811 0.89081747 0.30219818]
[ 0.67108899  0.54426487 -0.10194366],[0.66174696 0.63280398 0.47453613],[0.66101684 0.63162285 0.4743582 ]
[-1.6466107  -0.63315689  0.88652563],[0.16156755 0.34679507 0.70817266],[0.04767742 0.33569746 0.70984249]
[ 0.05609851  1.25354873 -0.65538093],[0.51402095 0.77791356 0.34177798],[0.51397742 0.78981642 0.32971191]
[-1.08575853 -0.85408501  0.34249337],[0.25241782 0.29857664 0.58479606],[0.21087729 0.27553683 0.58386382]
[-0.80608861 -0.52739188  0.23789762],[0.30872461 0.3711254  0.55919548],[0.28873116 0.3639799  0.55862547]
[-0.16266687  0.43151545 -0.43841174],[0.45942272 0.60623549 0.39211948],[0.45893637 0.60508578 0.38751399]
[-0.74781907 -0.34793927  0.21991581],[0.3212967  0.41388223 0.55475844],[0.30465673 0.41119926 0.55425351]
[ 1.7669074   0.60217447 -2.06102929],[0.85407265 0.64615363 0.11294267],[ 0.89489742  0.6451044  -0.07897495]
[ 2.66311133  1.10765096 -2.38539777],[0.93481452 0.75169092 0.08429299],[ 1.0593954   0.75850938 -0.18170128]
[ 2.22395075  1.75747929 -2.27407242],[0.90237977 0.85289368 0.09329316],[ 0.98179833  0.89303882 -0.14608919]
[ 0.46562034  0.76137676 -0.50320303],[0.61434663 0.68165257 0.37678824],[0.61315305 0.68164877 0.37040104]
[-1.02928952 -0.33089604  0.50803406],[0.26322187 0.41802262 0.6243455 ],[0.22678607 0.41563361 0.62313704]
[-1.49529512 -0.85925126  0.8067637 ],[0.18312829 0.2974958  0.69141944],[0.09263761 0.27411249 0.69192791]
[-0.93773655 -0.44815858  0.31551726],[0.28135777 0.38979867 0.57823139],[0.25237561 0.38494766 0.57738605]
[ 0.31178618  0.67342404 -0.77569283],[0.57732119 0.66226943 0.31524892],[0.57648839 0.66155351 0.2970513 ]
[-1.44655848 -0.31861117  0.71186207],[0.19053178 0.42101425 0.67081248],[0.10697241 0.41882451 0.6703643 ]
[ 0.72319584  0.21560335 -1.37148524],[0.67331037 0.55369301 0.20237999],[0.67295378 0.55320356 0.12891411]
[ 0.40154009  0.36870236 -0.76694785],[0.59905763 0.59114538 0.31713972],[0.59796651 0.59013647 0.2994399 ]
[ 0.74417775 -0.49097027 -1.03188998],[0.67790874 0.37966502 0.26271786],[0.67773743 0.37364166 0.22605555]
[-0.26127061  1.4762876  -0.06179183],[0.43505139 0.81401119 0.48455696],[0.43365841 0.83638052 0.48449477]
[-0.65179103  0.46051843  0.12483166],[0.34258605 0.61313716 0.53116745],[0.33067977 0.61194845 0.53097417]
[ 0.09932536  0.53555309 -0.5350138 ],[0.52481095 0.63077735 0.36934826],[0.52468336 0.62958601 0.36195295]
[-1.15612446  0.17582033  0.39297771],[0.2393722  0.5438422  0.59699932],[0.19091953 0.54349139 0.59592795]
[ 2.0976323   0.82249557 -2.33572516],[0.89067284 0.69476582 0.08820712],[ 0.95840716  0.69547641 -0.16576547]
[-1.9436518  -1.27267443  0.91998532],[0.12524722 0.21879978 0.71503912],[-0.04257968  0.15753589  0.71730074]
[-1.31837319 -0.88634062  0.86804271],[0.21108908 0.29186557 0.70433826],[0.14433509 0.26663085 0.70570821]
[ 1.72207276  1.23965274 -1.96524228],[0.84839563 0.77550356 0.12290083],[ 0.88603517  0.7868621  -0.04924323]
[ 1.48720303 -0.06043771 -1.95620196],[0.81565809 0.48489517 0.12387867],[ 0.83862416  0.48483578 -0.04645138]
[-1.31357396 -0.87854175  0.62617348],[0.21188941 0.29348006 0.65162131],[0.14572436 0.26878703 0.65066197]
[-1.0645852  -0.39577291  0.31154429],[0.25643419 0.40232837 0.57726216],[0.21685358 0.39870723 0.57643018]
[-0.48190113 -0.47885523  0.02084321],[0.3818033  0.38252248 0.50521062],[0.37604129 0.37684666 0.50520429]
[-1.60291542  0.28458714  0.64648349],[0.16757454 0.57067046 0.65621759],[0.06073108 0.56993194 0.65535176]
[ 0.40234355  1.43860762 -0.81403547],[0.59925059 0.80823894 0.30703123],[0.59815768 0.82860803 0.28655133]
[-0.49482708  0.07542951 -0.09284322],[0.37875709 0.51884844 0.47680585],[0.37262042 0.51877203 0.4766599 ]
[ 3.56263954  0.63156249 -3.38752069],[0.97241846 0.65284367 0.03268776],[ 1.20027388  0.65190755 -0.51900962]
[ 0.69597709  0.96506448 -1.05155027],[0.66729524 0.72413465 0.25892752],[0.66672851 0.72729588 0.22052606]
[-1.2727304  -0.72734113  0.43973953],[0.21879021 0.32577847 0.60819696],[0.15751976 0.31022934 0.60703432]
[-0.33400978  1.10016915 -0.16944214],[0.4172653  0.7502918  0.45774052],[0.41482412 0.7568867  0.4572088 ]
[-0.35230032 -0.01643412 -0.279419  ],[0.41282471 0.49589156 0.43059622],[0.41006319 0.49588742 0.42897412]
[-0.77833988  0.15301391  0.639929  ],[0.31467779 0.53817901 0.65473741],[0.29632783 0.53790228 0.65383961]
[-0.19472503 -0.17798405 -0.4558814 ],[0.45147199 0.45562108 0.38796332],[0.45074998 0.45502881 0.38291223]
[-1.45863104 -0.60253376  0.95054863],[0.18867679 0.35376422 0.7212255 ],[0.10342817 0.34392086 0.72408402]
[-1.15298373 -0.1759289   0.76413993],[0.23994451 0.45613087 0.68225188],[0.1918135  0.45555351 0.68227633]
[-0.18858625 -1.23497378 -0.57865149],[0.45299267 0.22531208 0.35924295],[0.45231997 0.16837915 0.35031457]
[-0.05869577  0.45043763 -0.35324127],[0.48533027 0.61074328 0.41259664],[0.48527438 0.609566   0.40981799]
[-1.05465851 -0.48171179  0.4141464 ],[0.25833154 0.38184799 0.60208169],[0.2196508  0.37609136 0.60096384]
[-0.6471947  -0.15089449  0.11644857],[0.34362198 0.46234779 0.52907929],[0.33191841 0.46193484 0.52890874]
[-0.90344885 -0.6110679   0.26106127],[0.28834227 0.35181563 0.56489716],[0.26189449 0.34163197 0.56424302]
[-1.0289042  -1.31237535  0.27481078],[0.2632966  0.21208963 0.56827356],[0.22689429 0.14607123 0.56756988]
[ 0.38931638  0.36564171 -1.14142021],[0.59611812 0.59040544 0.2420597 ],[0.59505559 0.58940502 0.19510235]
[-0.0363694   0.49288921 -0.24934447],[0.49090865 0.62078682 0.43798485],[0.49088781 0.61957821 0.43673129]
[ 0.88601033  1.12679524 -0.06292768],[0.70806616 0.75524699 0.48427327],[0.70972737 0.7626538  0.48420868]
[ 2.02735986  0.44904137 -2.07899022],[0.88363989 0.61041129 0.11115569],[ 0.94518714  0.60923577 -0.08458056]
[-1.33401626 -0.70167915  0.8701089 ],[0.20849581 0.33144004 0.70476836],[0.13980195 0.31719491 0.70617088]
[-0.87464378  0.06152198  0.51441869],[0.29428895 0.51537565 0.62584175],[0.26986403 0.51532372 0.62463527]
[-0.96628754 -0.77223955  0.25623625],[0.27562109 0.31599485 0.56371085],[0.24442244 0.2979948  0.56307421]
[-0.64650627 -0.18800504  0.30716816],[0.34377727 0.45313669 0.57619389],[0.33210388 0.45246855 0.57537676]
[-1.10678689 -0.61299966  0.32457732],[0.2484704  0.35137524 0.58043937],[0.20492862 0.34111356 0.57956407]
[ 1.63069214  1.02739495 -1.96803184],[0.83626443 0.73641054 0.12260044],[ 0.86778568  0.74101563 -0.0501052 ]
[-1.21611715 -0.40908431  0.58066272],[0.22862048 0.39913171 0.64121988],[0.1737866  0.39521867 0.64010814]
[ 1.67999903  1.32442972 -1.57884115],[0.8429044  0.78991775 0.17095967],[0.87766381 0.80479572 0.06789862]
[ 1.31543151 -0.25677262 -1.58691839],[0.78842063 0.43615723 0.1698179 ],[0.80290248 0.43481786 0.06549575]
[-0.41989245  1.28246088 -0.01019306],[0.39654249 0.78286838 0.49745176],[0.39238224 0.79594463 0.49745018]
[-1.45300363 -0.76444491  0.82087392],[0.18953973 0.31768201 0.69442182],[0.1050808  0.30012313 0.69511097]
[-0.89823955 -0.10486062  0.39979244],[0.2894124  0.47380884 0.59863779],[0.2633376  0.47361991 0.5975506 ]
[-0.32780655 -0.25214419 -0.22157311],[0.41877442 0.43729581 0.44483224],[0.41643651 0.4360103  0.4438703 ]
[-1.77841915 -0.24441903  0.81105013],[0.14449845 0.43919764 0.69233324],[0.00795359 0.43799913 0.6928955 ]
[-0.89226701  0.38590908  0.13201959],[0.29064222 0.59529751 0.53295704],[0.26499114 0.59424338 0.53274346]
[-0.40391145 -0.03917444  0.23004417],[0.40037294 0.49020764 0.55725875],[0.39657497 0.49018337 0.55671724]
[-1.68640572 -0.37313472  1.04401674],[0.15624911 0.40778378 0.73962429],[0.03573911 0.40462788 0.74465462]
[ 1.48187675 -0.51814754 -1.91789409],[0.81485588 0.3732855  0.12809659],[ 0.83752981  0.36643596 -0.03464829]
[-1.22620276 -0.3138342   0.55806002],[0.22684672 0.42217913 0.63600355],[0.17089571 0.42006407 0.63484354]
[-0.78455376  0.22612015  0.31349605],[0.31333928 0.5562904  0.57773838],[0.29462869 0.55576308 0.57689982]
[-1.0864133  -0.20104265  0.41050482],[0.25229428 0.44990794 0.60120892],[0.21069227 0.44913307 0.60009849]
[ 1.77024254  0.96070468 -2.38409384],[0.85448783 0.72326287 0.08439369],[ 0.89555426  0.72633187 -0.18128201]
[-1.98061919 -1.14357375  1.12824356],[0.12125285 0.24166482 0.75551461],[-0.05399758  0.19449015  0.76296689]
[ 0.19322055  0.80137395 -0.55709295],[0.54815541 0.69026831 0.36422036],[0.54774512 0.69071048 0.35607148]
[0.23078275 1.23607822 0.19701704],[0.55744097 0.77488063 0.54909555],[0.55689678 0.78610122 0.54867202]
[-0.97351013 -0.26807138  0.13017974],[0.27418141 0.43338063 0.53249905],[0.24240664 0.43190422 0.53229073]
[-1.15467577 -0.7147493   0.55160015],[0.23963607 0.32855027 0.63450676],[0.19133192 0.31364968 0.6333361 ]
[ 1.04731997  0.86014434 -1.12194908],[0.74025993 0.70269081 0.24564993],[0.74537681 0.70393836 0.20063118]
[-1.2058938  -0.72405269  0.51289809],[0.2304284  0.32650118 0.62548561],[0.17671385 0.31112304 0.62427856]
[-1.27839543 -0.33448458  0.88395006],[0.21782348 0.41714986 0.7076401 ],[0.15588672 0.41470066 0.709267  ]
[-0.47306521 -0.30487316  0.00713159],[0.38389101 0.42436663 0.50178289],[0.37837684 0.4223875  0.50178213]
[-1.18729932  0.25805828  0.85135976],[0.2337423  0.56415891 0.70085231],[0.18202998 0.56351566 0.70196774]
[-1.5637665  -0.49139094  0.70008631],[0.17310684 0.37956595 0.66820691],[0.07237789 0.37353029 0.66766977]
[ 1.84901293  0.42144778 -2.11410877],[0.86401117 0.60382964 0.10773307],[ 0.9109705   0.60269767 -0.09556903]
[-0.95813017 -0.20214332  0.19145265],[0.27725272 0.44963555 0.5477175 ],[0.24669726 0.44885124 0.54731335]
[-0.25929245 -0.4488854  -0.2288429 ],[0.43553765 0.3896258  0.44303765],[0.4341684  0.38475618 0.44200374]
[-1.25888478 -0.74350651  0.44213971],[0.22116593 0.32223784 0.60876876],[0.16150694 0.30583134 0.60760261]
[-1.13912004 -0.89628827  0.36049365],[0.24248196 0.28981386 0.58915993],[0.19575607 0.26387794 0.58817408]
[-0.03168821  0.13924327 -0.38880387],[0.49207861 0.53475468 0.40400528],[0.49206289 0.53451999 0.40053151]
[-0.34959688 -0.07288947 -0.23761064],[0.41348018 0.4817857  0.44087526],[0.41076751 0.48169794 0.43975046]
[-0.6729249  -0.52658242  0.30015262],[0.33784222 0.37131434 0.57447983],[0.32497636 0.36419506 0.57368678]
[ 0.6131529   0.95868667 -0.86755135],[0.64865969 0.72285878 0.29576407],[0.64764888 0.72588547 0.27182248]
[-0.10947684  1.53445174  0.27284508],[0.47265809 0.82265672 0.56779124],[0.47245101 0.8482948  0.5670946 ]
[-1.75232999 -0.93837897  0.90940387],[0.14775356 0.2812279  0.71287816],[0.0158576  0.25219693 0.71494574]
[-2.55916958 -1.47869923 -0.44538207],[0.07181287 0.18562397 0.39045928],[-0.23803263  0.09752692  0.38567901]
[ 1.69324389  1.54344946 -2.15959731],[0.84465029 0.82396562 0.10343779],[ 0.88030485  0.85012882 -0.10985724]
[-1.41997651 -0.35748697  0.74666783],[0.19466527 0.41156803 0.6784522 ],[0.11476087 0.4087113  0.67830426]
[-0.83042401 -0.6982217   0.34096447],[0.30355542 0.33220662 0.58442479],[0.28204994 0.31813187 0.58349727]
[-0.17579196 -1.06183062 -0.47119775],[0.45616484 0.25695978 0.38433279],[0.45558847 0.21763008 0.37887015]
[ 1.04311317 -0.41525037 -1.38158418],[0.73945025 0.39765385 0.20075469],[0.74445702 0.39360092 0.12597233]
[ 0.47052188  0.0811734  -0.81058822],[0.61550727 0.52028221 0.30776516],[0.61430961 0.52019451 0.28749714]
[-1.65524033 -0.98910979  0.7869363 ],[0.16040196 0.27108795 0.68717312],[0.04509261 0.23804748 0.68744504]
[ 0.33201884  0.2981927  -0.64540829],[0.58225051 0.57400065 0.34402501],[0.58135116 0.57321439 0.33239965]
[ 0.12389898  0.78433031 -0.50411109],[0.53093518 0.68661264 0.37657504],[0.53074448 0.68685497 0.37016031]
[-1.11075907 -0.46603123  0.41000532],[0.2477294  0.38555603 0.60108915],[0.20380345 0.38023442 0.59997976]
[ 0.0953654   0.86951617 -0.41285326],[0.5238233  0.70464501 0.39822816],[0.52370493 0.70603817 0.39422997]
[-0.16091157 -1.21495881 -1.48939717],[0.45985868 0.22882482 0.18401223],[0.45938372 0.17411842 0.09437615]
[ 1.21342004 -0.03323352 -1.65856105],[0.77090353 0.49169238 0.15995525],[0.78126919 0.49167505 0.04409737]
[-1.08938382 -0.16392286  0.45444353],[0.25173433 0.45911081 0.6116952 ],[0.20985269 0.45861623 0.6105131 ]
[ 0.9722999  -0.41780557 -1.53641909],[0.72557768 0.39704198 0.17705644],[0.72889447 0.39293018 0.08048647]
[ 0.93022368  1.95544626 -0.04174828],[0.71712066 0.87603929 0.48956445],[0.71957618 0.93150501 0.48953679]
[-0.33165978 -0.49077719  0.83948878],[0.41783683 0.3797105  0.69835754],[0.41543508 0.37369277 0.69930107]
[-1.48733527 -0.59975976  0.61503799],[0.18432203 0.35439866 0.64908918],[0.09498369 0.34466438 0.64808542]
[-0.12618762  0.89605268 -0.22653754],[0.46849489 0.71013765 0.44360658],[0.46821425 0.71196951 0.44259583]
[ 1.49374437  0.47154816 -0.73312225],[0.81663962 0.61575012 0.32450994],[0.83996701 0.61455168 0.30865741]
[-1.54250091 -0.7725623   0.97823022],[0.17617201 0.31592509 0.72675691],[0.07868514 0.29790664 0.73020354]
